Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Jacob Amaya","CHW",0,0,0,0,0,0,0,0,0,0,1,0,72.3175906397083,186.97507264799918,0,3.1402918815612795,-3.1402918815612795,7.7481870472431185,13.247030850172042,"Jacob Amaya",23296,676070
"Michael Stefanic","TOR",0,0,0,0,0,0,0,0,0,0,1,0,73.39348158587879,186.97507264799918,0,3.1402918815612795,-3.1402918815612795,7.7481870472431185,13.247030850172042,"Michael Stefanic",25353,683021
"Miles Mastrobuoni","SEA",0,18,0,0,0,0.33333333,-0.33333333,0.25,3,0.25,1,0,230.5422590941958,295.9850292606439,0,9.140291881561279,-9.140291881561279,12.212221992015838,11.719697508340042,"Miles Mastrobuoni",20017,670156
"Kevin Newman","LAA",0,0,0,4.5,0,0,0,0.25,1,0.14285714285714285,0.83333333,162.79651472847254,230.32689114901777,205.7289003061952,6.75,9.640291881561279,-2.8902918815612786,8.516169574856757,11.144124600172042,"Kevin Newman",17696,621028
"Jon Berti","CHC",0,16.200006759169536,0,0,0,0.27272727,-0.27272727,0.375,3.600001502037675,0.375,0.66666667,260.40657664269924,207.09623095291286,290.54937691020143,10.800004506113025,8.540294134617792,2.259710371495233,12.226611805214851,10.921857278318686,"Jon Berti",12037,542932
"Willi Castro","MIN",0,0,0,0,0,0,0,0.25,1,0.25,1,0,74.57430350296522,186.97507264799918,0,3.1402918815612795,-3.1402918815612795,7.7481870472431185,10.520030850172043,"Willi Castro",17338,650489
"César Salazar","HOU",0,0,0,0,0,0,0,0,0,0,1,0,148.29434178075772,260.2338786125175,0,6.1402918815612795,-6.1402918815612795,10.748187047243118,10.520030850172043,"Cesar Salazar",21587,663967
"Brett de Geus","PHI",0,13.5,0,0,0,0.3,-0.3,0.14285714285714285,2,0.14285714285714285,0.75,104.52572599775533,178.80673986063667,218.59963742585347,4.5,7.6402918815612795,-3.1402918815612795,9.176256936788558,10.174850850172044,"Brett de Geus",23592,676969
"Adam Ottavino","NYY",16.200016897934418,21.600022530579228,0.75,0,0.33333333,0.44444444,-0.11111111,0,2.4000025033976917,0,1,0,159.48333794651074,207.37199888216736,0,6.740295636657818,-6.740295636657818,8.583455625496239,10.033006149987623,"Adam Ottavino",1247,493603
"Drey Jameson","ARI",0,9,0,0,0,0.23076923,-0.23076923,0.4,2.3333333333333335,0.4,0.71428571,70.26345114324565,152.1615627609758,183.21863623689956,3,6.14029188156128,-3.1402918815612804,7.67625693678856,9.245385865715782,"Drey Jameson",26260,686753
"Tyler Heineman","TOR",0,0,0,0,0,0,0,0.25,1,0.25,0.5,220.99810264925014,145.61062983005772,260.2338786125175,9,6.1402918815612795,2.8597081184387205,10.748187047243118,9.179030850172042,"Tyler Heineman",13897,623168
"Robert Stock","BOS",3.3750008801000626,13.50000352040025,0.25,3.3750008801000626,0.06666667,0.26666667,-0.2,0.36363636363636365,3.0000007823111665,0.3333333333333333,0.75757576,236.9168233830199,283.69287487611456,222.2871356800471,10.125002640300188,11.765294130705884,-1.640291490405696,9.194241043092465,9.137986400905023,"Robert Stock",6576,476594
"Clayton Beeter","NYY",2.454545880152248,9.818183520608992,0.25,4.909091760304496,0.05,0.2,-0.15,0.3125,2.454545880152248,0.23076923076923078,0.48387097,363.40262683909447,308.6359045265755,243.34465590554285,14.727275280913489,12.958475402170272,1.7687998787432164,10.056561413248154,8.974683350172043,"Clayton Beeter",27494,690925
"Jorge Mateo","BAL",0,18,0,9,0,0.18181818,-0.18181818,0.625,7,0.5714285714285714,0.45454545,1115.1969104301268,614.6642707369768,406.7514905415542,45,25.14029188156128,19.85970811843872,16.748187047243118,8.867014304660389,"Jorge Mateo",17273,622761
"Gary Sánchez","BAL",0,9,0,9,0,0.14285714,-0.14285714,0.4,3,0.25,0,892.1575283441014,541.0484521750482,333.4926845770359,36,22.14029188156128,13.859708118438721,13.748187047243118,8.65286756919188,"Gary Sanchez",11442,596142
"Enrique Hernández","LAD",1.6875004306203853,13.500003444963083,0.125,1.6875004306203853,0.02702703,0.21621622,-0.18918919,0.3793103448275862,3.56250090908748,0.37037037037037035,0.45454545,361.6863716812348,224.6075898002465,241.45508513485842,15.187503875583468,9.702793556196111,5.484710319387357,10.145228147648776,8.51633471790055,"Enrique Hernandez",10472,571771
"José Caballero","TBR",0,9,0,18,0,0.11111111,-0.11111111,0.625,6,0.5,0,1302.9501493766786,768.7559180589584,335.2491892453015,54,32.14029188156128,21.859708118438718,13.820117157697677,8.446216032249746,"Jose Caballero",23401,676609
"Gregory Santos","SEA",0,10.28571581840538,0,0,0,0.22222222,-0.22222222,0.2857142857142857,2.2857146263123065,0.2857142857142857,0.625,134.20388644680784,165.028768151172,190.3258924817198,5.14285790920269,6.568863821029739,-1.4260059118270485,7.885405493118833,8.345969119436326,"Gregory Santos",21894,666619
"Mike Clevinger","CHW",4.764707344110898,12.705886250962394,0.375,0,0.09677419,0.25806452,-0.16129032,0.21739130434782608,2.29411835086821,0.25,0.61538462,193.04839049423478,147.66190937915738,198.35327818120717,7.941178906851496,6.316763444301878,1.624415462549618,8.214132624026835,8.320282677088723,"Mike Clevinger",12808,605182
"Amed Rosario","WSN",0,18,0,9,0,0.2,-0.2,0.625,7,0.5714285714285714,0.53571429,853.2272815870467,522.8443572950963,290.2099595782661,36,22.14029188156128,13.859708118438721,12.212221992015838,8.294950850172043,"Amed Rosario",15518,642708
"Brooks Kriske","CHC",4.5,9,0.5,0,0.125,0.25,-0.125,0.16666666666666666,1.5,0.2,1,0,125.52168190083026,177.74596259265962,0,5.1402918815612795,-5.1402918815612795,7.444239464402199,8.284343350172044,"Brooks Kriske",21189,621139
"Travis Jankowski","NYM",0,9,0,0,0,0.16666667,-0.16666667,0.5,3,0.5,0.5,441.0011935171924,219.13844076716188,253.9806386148074,18,9.140291881561279,8.859708118438721,10.676256936788558,8.172364172124043,"Travis Jankowski",13768,608671
"Emmanuel Rivera","BAL",0,18,0,9,0,0.15384615,-0.15384615,0.7272727272727273,10,0.7,0.23255814,1784.3150566882027,541.0484521750482,408.5079952098199,72,22.14029188156128,49.85970811843872,16.820117157697677,8.109729059248433,"Emmanuel Rivera",19890,656896
"Matt Waldron","SDP",5.7857150739554095,11.571430147910819,0.5,1.9285716913184698,0.12,0.24,-0.12,0.3157894736842105,2.57142892175796,0.3333333333333333,0.75471698,189.9284735119412,204.45437609486947,167.9341739679155,7.714286765273879,8.497435468557029,-0.7831487032831497,7.028262458592902,7.860434050172043,"Matt Waldron",25550,663362
"Leo Rivas","SEA",0,9,0,0,0,0.16666667,-0.16666667,0.6,4,0.6,1,0,154.1098378082413,185.21856797973356,0,6.1402918815612795,-6.1402918815612795,7.676256936788559,7.778975284850265,"Leo Rivas",21009,660844
"Yilber Díaz","ARI",3,9,0.33333333,0,0.06666667,0.2,-0.13333333,0.3333333333333333,2.3333333333333335,0.36363636363636365,0.57142857,210.79035342973694,135.8833472761923,179.5701871407396,9,5.473625214894613,3.5263747851053866,7.52157862186432,7.721813082464755,"Yilber Diaz",29271,700270
"Xzavion Curry","MIA",3.0000010132793036,9.00000303983791,0.33333333,0,0.0625,0.1875,-0.125,0.3076923076923077,2.3333341214394583,0.3333333333333333,0.42857143,140.0984024457352,131.21989423416647,191.6466664458934,6.000002026558607,5.473626003000738,0.5263760235578694,8.033568626358203,7.646987881422044,"Xzavion Curry",25595,675540
"Eduarniel Núñez","SDP",3.8571434072694784,7.714286814538957,0.5,1.9285717036347392,0.0952381,0.19047619,-0.0952381,0.25,1.714285958786435,0.23076923076923078,0.92105263,94.96423736243244,199.35338388857411,193.933453203418,3.8571434072694784,8.283149757920583,-4.426006350651105,8.130518402255383,7.627996832004961,"Eduarniel Nunez",23162,674384
"Will Wilson","CLE",0,0,0,4.5,0,0,0,0.25,1,0.14285714285714285,0,222.42135114728083,236.09098481342733,149.4674173316072,9,9.640291881561279,-0.6402918815612786,6.212221992015839,7.582655850172042,"Will Wilson",25434,669717
"Triston McKenzie","CLE",6.352941889251472,11.117648306190077,0.57142857,1.588235472312868,0.13333333,0.23333333,-0.1,0.30434782608695654,2.4705885124866835,0.3333333333333333,0.55555556,274.7558175381194,188.82356410796763,183.42554275661618,11.117648306190077,7.72852769046512,3.3891206157249565,7.602831283742052,7.551573070243887,"Triston McKenzie",18000,663474
"Carlos Rodriguez","MIL",5.40000051498418,10.80000102996836,0.5,0,0.11111111,0.22222222,-0.11111111,0.35714285714285715,2.70000025749209,0.4166666666666667,0.66666667,193.07916545854977,132.57305761413585,198.0497041499735,8.10000077247627,5.540292110443138,2.559708662033131,8.305029473518143,7.542753069061208,"Carlos Rodriguez",30161,692230
"Mike Yastrzemski","SFG",0,9,0,0,0,0.14285714,-0.14285714,0.4,3,0.4,0.5,436.29471244086443,226.16306811728944,290.2099595782661,18,9.140291881561279,8.859708118438721,12.212221992015838,7.444296144754165,"Mike Yastrzemski",14854,573262
"Blake Snell","LAD",4,8,0.5,0,0.08695652,0.17391304,-0.08695652,0.2631578947368421,2,0.29411764705882354,0.61111111,47.629468890237845,114.88096218838774,166.46611262631222,2,4.918069659339057,-2.918069659339057,6.966023066308764,7.3484807578714575,"Blake Snell",13543,605483
"Javier Sanoja","MIA",0,3.6000007295609997,0,3.6000007295609997,0,0.0625,-0.0625,0.5333333333333333,3.6000007295609997,0.5,0.46052632,462.3246656090575,227.10917649928732,198.72837317723818,19.8000040125855,9.540293178558613,10.259710834026887,8.33380207764713,7.344214443922041,"Javier Sanoja",28253,691594
"Jake Bauers","MIL",1.8,5.4,0.33333333,0,0.03448276,0.10344828,-0.06896552,0.3333333333333333,2.2,0.34782608695652173,0.69230769,85.81295424226029,137.2811484412933,231.7506161280458,3.6,5.74029188156128,-2.14029188156128,9.733801025152207,7.340401835079503,"Jake Bauers",15194,641343
"Tyler Owens","DET",3,9,0.33333333,0,0.06666667,0.2,-0.13333333,0.25,2,0.2727272727272727,0.83333333,73.13448286756453,131.44761560049517,156.436281548821,3,5.473625214894613,-2.4736252148946134,6.497601918379466,7.315986415110755,"Tyler Owens",26030,687074
"Erik Swanson","TOR",5.062501320150094,8.437502200250156,0.6,3.3750008801000626,0.1,0.16666667,-0.06666667,0.3333333333333333,2.437500635627823,0.3157894736842105,0.44642857,372.9343954708316,244.90925339202664,220.82115917462224,15.18750396045028,10.265293739550302,4.922210220899979,9.134208266713273,7.267913059657619,"Erik Swanson",16587,657024
"Abraham Toro","BOS",0,9,0,0,0,0.125,-0.125,0.5714285714285714,5,0.5714285714285714,0.6,421.1853539593668,146.9967125228304,222.7262232961255,18,6.1402918815612795,11.859708118438721,9.212221992015838,7.211812100172042,"Abraham Toro",19844,647351
"Blas Castaño","SEA",3,6,0.5,3,0.0625,0.125,-0.0625,0.3076923076923077,2,0.2727272727272727,0.71428571,234.85676628552315,247.52724160218565,218.94904040947435,9,9.806958548227946,-0.8069585482279464,9.0575436770916,7.198616787672043,"Blas Castano",26117,680604
